time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/17:29:34.691264,13428,1616315374,690306901,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.790972,13429,1616315374,790041923,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.890860,13430,1616315374,889955043,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:34.990814,13431,1616315374,990000963,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.090689,13432,1616315375,89978933,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.190715,13433,1616315375,190011024,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.290349,13434,1616315375,289900064,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.390620,13435,1616315375,389934062,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.490281,13436,1616315375,489969015,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
2021/03/21/17:29:35.590397,13437,1616315375,590025901,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(6.882466515526181e-06, 9.966290830634535e-05, 6.765674958005547e-05, 1.732177841477096e-05, -8.05988465435803e-05, -8.25583543162793e-05, 0.0, 0.0)",(),()
