time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/16:02:31.074600,527,1616310151,63735975,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105955600738525, 0.043782368302345276, -0.03923369199037552, -0.1720402091741562, 0.12445484846830368)","(0.49854376912117004, -0.03834952041506767, -0.3067961633205414, -0.34514567255973816, 0.23009712994098663, -0.34514567255973816)","(0.000732421875, 0.000732421875, -0.000732421875, 0.0009765625, 0.00067138671875, -0.00030517578125)"
2021/03/21/16:02:31.094462,528,1616310151,83617436,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105966091156006, 0.043771713972091675, -0.03924434259533882, -0.1720402091741562, 0.12444419413805008)","(0.5368933081626892, -0.23009712994098663, -0.34514567255973816, -0.6902913451194763, 0.4218447208404541, -0.575242817401886)","(0.000244140625, -6.103515625e-05, -0.00079345703125, -6.103515625e-05, 0.00091552734375, -0.0006103515625)"
2021/03/21/16:02:31.114309,529,1616310151,103661707,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105955600738525, 0.043782368302345276, -0.03924434259533882, -0.1720508635044098, 0.12445484846830368)","(0.03834952041506767, 0.07669904083013535, -0.07669904083013535, -0.6519418358802795, 0.07669904083013535, -0.2684466540813446)","(0.000732421875, -0.000732421875, 0.0008544921875, -0.0001220703125, -0.00042724609375, 0.000244140625)"
2021/03/21/16:02:31.134323,530,1616310151,123609252,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105966091156006, 0.043782368302345276, -0.03922303766012192, -0.1720402091741562, 0.12443354725837708)","(-0.1533980816602707, -0.3067961633205414, -0.2684466540813446, -0.23009712994098663, 0.23009712994098663, -0.7286409139633179)","(-0.00018310546875, -0.00018310546875, -0.000244140625, -0.0001220703125, -0.0003662109375, -6.103515625e-05)"
2021/03/21/16:02:31.154554,531,1616310151,143735222,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.1059770584106445, 0.04380367323756218, -0.039201732724905014, -0.172072172164917, 0.12445484846830368)","(-0.07669904083013535, -0.49854376912117004, 0.2684466540813446, 0.2684466540813446, -0.3834952116012573, -0.3834952116012573)","(0.00128173828125, 0.00042724609375, -0.0001220703125, -0.0001220703125, -0.00091552734375, -0.0006103515625)"
2021/03/21/16:02:31.174406,532,1616310151,163744770,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105944633483887, 0.043771713972091675, -0.039201732724905014, -0.1720402091741562, 0.12446549534797668)","(0.3067961633205414, 0.19174760580062866, -0.46019425988197327, 0.2684466540813446, 0.07669904083013535, 0.07669904083013535)","(0.00079345703125, 0.00018310546875, -0.00067138671875, 0.00091552734375, -0.00079345703125, 0.00054931640625)"
2021/03/21/16:02:31.194130,533,1616310151,183722836,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105966091156006, 0.04379302263259888, -0.039201732724905014, -0.1720402091741562, 0.12446549534797668)","(-0.2684466540813446, -0.19174760580062866, -0.03834952041506767, 0.3067961633205414, 0.34514567255973816, -0.07669904083013535)","(0.001220703125, -0.00018310546875, -0.00018310546875, -0.00018310546875, 0.00189208984375, -0.00146484375)"
2021/03/21/16:02:31.214350,534,1616310151,203631073,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105923175811768, 0.04375041276216507, -0.039201732724905014, -0.1720615178346634, 0.12447615712881088)","(-0.3067961633205414, 0.6902913451194763, -0.9587380290031433, 0.34514567255973816, -0.11504856497049332, 0.23009712994098663)","(0.001708984375, -0.00018310546875, -0.000244140625, -6.103515625e-05, -0.0009765625, -0.0006103515625)"
2021/03/21/16:02:31.234513,535,1616310151,223728258,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02076200395822525, -4.105955600738525, 0.04376106709241867, -0.03921238332986832, -0.1720508635044098, 0.12448680400848389)","(-0.7669904232025146, -0.07669904083013535, -0.7286409139633179, 0.1533980816602707, -0.03834952041506767, 0.2684466540813446)","(-0.00018310546875, 0.00048828125, 0.0008544921875, -0.00018310546875, 0.0010986328125, 0.00054931640625)"
2021/03/21/16:02:31.254371,536,1616310151,243625767,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105955600738525, 0.04380367323756218, -0.03921238332986832, -0.1720508635044098, 0.12444419413805008)","(-0.23009712994098663, 0.03834952041506767, 0.1533980816602707, 0.03834952041506767, -0.11504856497049332, -0.4218447208404541)","(0.00079345703125, 0.00018310546875, -0.000732421875, -0.00018310546875, -0.00079345703125, -0.0006103515625)"
2021/03/21/16:02:31.274091,537,1616310151,263619171,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105955600738525, 0.043782368302345276, -0.03919107839465141, -0.1720615178346634, 0.12445484846830368)","(-0.5368933081626892, -0.03834952041506767, -0.1533980816602707, 0.3067961633205414, -0.07669904083013535, -0.4218447208404541)","(0.000244140625, -0.00048828125, 0.0008544921875, -0.00067138671875, 0.00128173828125, 0.000244140625)"
2021/03/21/16:02:31.294060,538,1616310151,283714494,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105934143066406, 0.04379302263259888, -0.03923369199037552, -0.1720615178346634, 0.12447615712881088)","(-0.4218447208404541, 0.34514567255973816, 0.07669904083013535, -0.4218447208404541, 0.0, 0.19174760580062866)","(-0.00018310546875, 0.00018310546875, -0.00018310546875, -0.0006103515625, 0.0010986328125, 0.00140380859375)"
2021/03/21/16:02:31.314094,539,1616310151,303730044,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02082592062652111, -4.105944633483887, 0.04381432756781578, -0.039201732724905014, -0.1720508635044098, 0.12447615712881088)","(0.7286409139633179, 0.19174760580062866, 0.6135923266410828, 0.2684466540813446, 0.03834952041506767, 0.19174760580062866)","(0.001220703125, -0.000732421875, -0.00067138671875, 0.00146484375, -0.00054931640625, 0.0)"
2021/03/21/16:02:31.334179,540,1616310151,323664430,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.1059770584106445, 0.043771713972091675, -0.039201732724905014, -0.1720615178346634, 0.12444419413805008)","(0.07669904083013535, -0.49854376912117004, -0.5368933081626892, 0.2684466540813446, -0.11504856497049332, -0.3834952116012573)","(0.00079345703125, -0.000732421875, 0.00030517578125, -0.00115966796875, 0.00128173828125, -6.103515625e-05)"
2021/03/21/16:02:31.354611,541,1616310151,343716786,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105955600738525, 0.04379302263259888, -0.03922303766012192, -0.1720615178346634, 0.12446549534797668)","(-0.34514567255973816, 0.03834952041506767, 0.0, -0.19174760580062866, -0.3067961633205414, 0.19174760580062866)","(-0.000244140625, -0.000732421875, -0.00018310546875, -0.0001220703125, 0.000732421875, 0.000244140625)"
2021/03/21/16:02:31.374398,542,1616310151,363717646,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105955600738525, 0.04379302263259888, -0.03921238332986832, -0.1720508635044098, 0.12446549534797668)","(-0.2684466540813446, -0.1533980816602707, 0.0, 0.0, 0.11504856497049332, -0.07669904083013535)","(0.001220703125, -0.00103759765625, -0.000244140625, -0.000244140625, 0.00091552734375, 0.000244140625)"
2021/03/21/16:02:31.394288,543,1616310151,383730389,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105966091156006, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12446549534797668)","(-0.23009712994098663, -0.19174760580062866, -0.03834952041506767, -0.19174760580062866, 0.07669904083013535, 0.0)","(-0.00018310546875, -0.000732421875, -0.000244140625, -0.00054931640625, 0.0, 0.0008544921875)"
2021/03/21/16:02:31.414319,544,1616310151,403719415,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105955600738525, 0.04379302263259888, -0.03919107839465141, -0.1720508635044098, 0.12446549534797668)","(0.4218447208404541, -0.03834952041506767, -0.03834952041506767, 0.575242817401886, 0.3067961633205414, 0.1533980816602707)","(0.000244140625, 0.00018310546875, 0.00030517578125, -0.00018310546875, 0.0, 0.000244140625)"
2021/03/21/16:02:31.434552,545,1616310151,423747263,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105944633483887, 0.043782368302345276, -0.03919107839465141, -0.1720508635044098, 0.12444419413805008)","(-0.19174760580062866, 0.19174760580062866, -0.23009712994098663, 0.3834952116012573, 0.11504856497049332, -0.4218447208404541)","(-0.000732421875, -0.000732421875, -0.0001220703125, -0.00018310546875, -0.00115966796875, -0.00091552734375)"
2021/03/21/16:02:31.454472,546,1616310151,443726551,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105955600738525, 0.043782368302345276, -0.03919107839465141, -0.1720508635044098, 0.12444419413805008)","(0.3067961633205414, -0.1533980816602707, -0.19174760580062866, 0.46019425988197327, 0.0, -0.6135923266410828)","(0.001220703125, 0.00048828125, -0.000244140625, -0.0001220703125, -0.00079345703125, 0.00054931640625)"
2021/03/21/16:02:31.474600,547,1616310151,463728557,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105944633483887, 0.04381432756781578, -0.03921238332986832, -0.1720508635044098, 0.12448680400848389)","(0.1533980816602707, 0.11504856497049332, 0.34514567255973816, 0.0, 0.07669904083013535, 0.49854376912117004)","(0.00128173828125, 0.00018310546875, -0.000244140625, -0.00018310546875, 0.00054931640625, 0.0)"
2021/03/21/16:02:31.494507,548,1616310151,483713752,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02077265828847885, -4.105966091156006, 0.04380367323756218, -0.03921238332986832, -0.172072172164917, 0.12447615712881088)","(-0.5368933081626892, -0.3834952116012573, 0.23009712994098663, 0.07669904083013535, -0.3834952116012573, 0.19174760580062866)","(0.000244140625, -0.00018310546875, 0.00030517578125, -0.00018310546875, 0.00054931640625, 0.00048828125)"
2021/03/21/16:02:31.514484,549,1616310151,503680952,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105944633483887, 0.04380367323756218, -0.03923369199037552, -0.1720402091741562, 0.12447615712881088)","(0.3067961633205414, 0.11504856497049332, 0.23009712994098663, -0.4218447208404541, 0.3067961633205414, 0.19174760580062866)","(-0.000732421875, -0.00018310546875, 0.00030517578125, -0.0001220703125, 0.00128173828125, 0.001708984375)"
2021/03/21/16:02:31.534110,550,1616310151,523726737,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105955600738525, 0.04379302263259888, -0.03924434259533882, -0.1720615178346634, 0.12446549534797668)","(0.07669904083013535, -0.19174760580062866, 0.0, -0.6519418358802795, -0.1533980816602707, -0.07669904083013535)","(0.001220703125, 0.00018310546875, -0.000732421875, -0.0001220703125, 0.0009765625, 0.0)"
2021/03/21/16:02:31.554187,551,1616310151,543734382,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105944633483887, 0.04379302263259888, -0.03921238332986832, -0.1720508635044098, 0.12447615712881088)","(0.5368933081626892, 0.19174760580062866, -0.03834952041506767, 0.0, 0.07669904083013535, 0.23009712994098663)","(-0.000732421875, 0.00018310546875, 0.0003662109375, -0.001708984375, 0.00048828125, 0.000244140625)"
2021/03/21/16:02:31.574111,552,1616310151,563673409,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105944633483887, 0.04379302263259888, -0.039201732724905014, -0.1720615178346634, 0.12447615712881088)","(0.1533980816602707, 0.23009712994098663, -0.11504856497049332, 0.2684466540813446, -0.23009712994098663, 0.1533980816602707)","(0.000244140625, -0.00018310546875, -0.000732421875, -6.103515625e-05, 0.00018310546875, 0.0)"
2021/03/21/16:02:31.594227,553,1616310151,583623712,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105934143066406, 0.04379302263259888, -0.03922303766012192, -0.1720402091741562, 0.12447615712881088)","(0.07669904083013535, 0.46019425988197327, -0.19174760580062866, -0.23009712994098663, 0.2684466540813446, 0.3067961633205414)","(0.002197265625, -0.00103759765625, -0.0001220703125, -0.0006103515625, -0.00054931640625, -0.00091552734375)"
2021/03/21/16:02:31.614137,554,1616310151,603573206,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020793961361050606, -4.105966091156006, 0.04381432756781578, -0.03922303766012192, -0.1720508635044098, 0.12446549534797668)","(0.11504856497049332, -0.3834952116012573, 0.4218447208404541, -0.23009712994098663, 0.03834952041506767, 0.0)","(0.00030517578125, 0.00018310546875, 0.00030517578125, -0.00067138671875, 0.0010986328125, 0.00140380859375)"
2021/03/21/16:02:31.634073,555,1616310151,623685833,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105955600738525, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12446549534797668)","(-0.03834952041506767, 0.0, 0.0, -0.19174760580062866, 0.11504856497049332, 0.0)","(0.000244140625, 0.00018310546875, -0.00079345703125, -0.001220703125, 0.00018310546875, -0.00115966796875)"
2021/03/21/16:02:31.654128,556,1616310151,643634154,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020783308893442154, -4.105955600738525, 0.04379302263259888, -0.03922303766012192, -0.1720508635044098, 0.12447615712881088)","(-0.1533980816602707, -0.19174760580062866, -0.03834952041506767, -0.23009712994098663, 0.03834952041506767, 0.3067961633205414)","(0.001220703125, -0.00103759765625, 0.00030517578125, 0.0009765625, 0.000732421875, -0.00115966796875)"
2021/03/21/16:02:31.674527,557,1616310151,663635054,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.020804615691304207, -4.105923175811768, 0.043782368302345276, -0.03921238332986832, -0.1720508635044098, 0.12447615712881088)","(0.2684466540813446, 0.6519418358802795, -0.1533980816602707, -0.11504856497049332, -0.03834952041506767, 0.3067961633205414)","(-0.001220703125, -0.0009765625, 0.00030517578125, -0.00067138671875, 0.00030517578125, -0.00091552734375)"
2021/03/21/16:02:31.694502,558,1616310151,683755726,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02081526815891266, -4.105944633483887, 0.043782368302345276, -0.03923369199037552, -0.172072172164917, 0.12447615712881088)","(0.5368933081626892, 0.2684466540813446, -0.1533980816602707, -0.34514567255973816, -0.34514567255973816, 0.23009712994098663)","(0.000732421875, -0.000732421875, 0.0003662109375, 0.0003662109375, 0.000732421875, 0.00054931640625)"
2021/03/21/16:02:31.714247,559,1616310151,703627204,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6']","(0.02082592062652111, -4.105966091156006, 0.04380367323756218, -0.03924434259533882, -0.1720508635044098, 0.12447615712881088)","(0.575242817401886, -0.3067961633205414, 0.2684466540813446, -0.6519418358802795, 0.07669904083013535, 0.23009712994098663)","(0.000244140625, -0.00042724609375, -0.0001220703125, -0.00115966796875, 0.0010986328125, -0.0006103515625)"
