time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/03/21/17:50:03.723766,1687,1616316603,723520994,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.734651,1688,1616316603,733659029,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.744803,1689,1616316603,743654966,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.754806,1690,1616316603,753607034,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.764264,1691,1616316603,763668060,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.774945,1692,1616316603,773690938,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.784608,1693,1616316603,783999919,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.794710,1694,1616316603,793689966,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.804059,1695,1616316603,803822994,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
2021/03/21/17:50:03.813745,1696,1616316603,813458919,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7', 'joint8']","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",(),()
